source,target,weight
E_3407_3,0_14356_3,8.356868743896484
E_3407_3,0_15731_3,13.824628829956055
E_736_4,0_7861_4,13.220185279846191
E_2_0,0_8178_4,4.302582263946533
E_3407_3,0_8178_4,1.6940977573394775
E_736_4,0_8178_4,11.973715782165527
E_2_0,0_9057_4,1.5922447443008423
E_736_4,0_9057_4,12.006573677062988
E_2_0,0_15252_4,3.0738844871520996
E_736_4,0_15252_4,35.013450622558594
E_13060_5,0_167_5,9.636466026306152
E_13060_5,0_1157_5,14.510904312133789
E_13060_5,0_1506_5,13.74685287475586
E_736_4,0_1847_5,-1.1541919708251953
E_13060_5,0_1847_5,5.929460048675537
E_13060_5,0_3019_5,10.43936538696289
E_13060_5,0_4505_5,11.150242805480957
E_736_4,0_4810_5,7.767151832580566
E_13060_5,0_4810_5,2.6032581329345703
E_5958_1,0_5425_5,1.6216830015182495
E_3407_3,0_5425_5,4.5846147537231445
E_13060_5,0_5425_5,4.568294525146484
E_13060_5,0_6925_5,17.487699508666992
E_2_0,0_7108_5,1.048735499382019
E_13060_5,0_7108_5,12.202692031860352
E_13060_5,0_7718_5,16.2501277923584
E_2_0,0_8211_5,0.7893472909927368
E_3407_3,0_8211_5,5.760223865509033
E_736_4,0_8211_5,0.7906907796859741
E_13060_5,0_8211_5,4.37741231918335
E_2_0,0_9026_5,-5.1988844871521
E_5958_1,0_9026_5,-2.9850223064422607
E_736_4,0_9026_5,2.01389217376709
E_13060_5,0_9026_5,16.198083877563477
E_2_0,0_9395_5,0.8183084726333618
E_13060_5,0_9395_5,11.275819778442383
E_2_0,0_9488_5,0.6998422145843506
E_3407_3,0_9488_5,0.5914026498794556
E_13060_5,0_9488_5,13.45036792755127
E_13060_5,0_10576_5,18.850976943969727
E_13060_5,0_11716_5,14.119083404541016
E_13060_5,0_14163_5,13.473001480102539
E_2_0,0_14826_5,1.0982153415679932
E_13060_5,0_14826_5,13.133907318115234
E_13060_5,0_16029_5,11.375663757324219
E_736_4,0_2858_6,1.7186284065246582
E_235292_6,0_2858_6,9.699409484863281
E_736_4,0_4531_6,1.9170664548873901
E_235292_6,0_4531_6,12.396476745605469
E_235292_6,0_16200_6,32.92271041870117
E_2_0,0_8722_7,1.278003215789795
E_714_7,0_8722_7,25.131603240966797
